name
Accura Málaga
Al-Andalus Centro de Entrenamiento
Altafit Gym Club Fuengirola
Arena Fitness Center
Ares Box
Basic-Fit Armengual de la Mota
Basic-Fit Bulevar Louis Pasteur
Basic-Fit Centro Comercial Alameda
Basic-Fit Fèlix García Palacios
Basic-Fit Horacio Quiroga
Basic-Fit Héroe de Sostoa
Basic-Fit Olmos
BeOne Rincón de la Victoria (Piscina Municipal)
Belife Wellness Center
Bil Bil Golf (Fitness & Spa)
Bikram Yoga Spain Málaga (Mijas)
Black Gym
BlackBull Gym
Blume Sport
Body Power Gym - Benalmádena
Box 1315 CrossFit
Box Distrito 9
Box Olimpo Málaga
Box Trojan77
Box Zona Zero
Brooklyn Fitboxing Marbella
Brooklyn Fitboxing Teatinos
Casares Fitness
Casares Sport Club
CD Karate Genbu-Kai (Churriana)
Centro Deportivo Cerrado de Calderón
Centro Deportivo Las Mesas
Centro Supera Estepona (J.R. de la Morena)
Complejo Deportivo Universitario UMA
ConCiencia CCAFD
CrossFit Antequera
CrossFit Estepona
CrossFit Fuengirola
CrossFit La Muralla Coín
CrossFit Málaga
CrossFit Teatinos
Culture Fitness Mijas
Doyang Taekwon-Do Center
Electrofitness Fuengirola
Entrenamiento Personal JuanMa García
Epic Gym Benalmádena
Exon Fitness
Finura Padel & Gym
Fitness House Antequera
Fitness & Life Center
Fitness Saul Gym
Forus Conde de Guadalhorce
Forus El Torcal
Forus Trinidad
FunesFit (Hybrid Center Málaga)
GIMNASIO PITU
GO fit Huelin
GO fit Segalerva
Golden B Muaythai Estepona
Gym Krono
Gym Núñez
GymalFit (Las Lagunas)
Gimnasio Acapulco
Gimnasio Atenas Benalmádena
Gimnasio Athena Torremolinos
Gimnasio BlueLife Sportclub & Spa
Gimnasio Coliseo Sport Center
Gimnasio Corpore Sano
Gimnasio Dino
Gimnasio El Limón (Polideportivo)
Gimnasio Epic Gym
Gimnasio FunesFit (Hybrid Center)
Gimnasio Gym Car Ciudad Jardín
Gimnasio José Manuel Ruiz
Gimnasio Mueve-T
Gimnasio Municipal Benarrabá
Gimnasio Municipal Frigiliana
Gimnasio Pitu
Gimnasio Polideportivo Arroyo de la Miel
Gimnasio Rodas Club de Fitness
Gimnasio SAAD
Gimnasio Sparta
Gimnasio Studio 1
Gimnasio Tama
Gimnasio Training Time
Gimnasio Ulises I
Gimnasio Uppsala
GO fit Huelin
GO fit Segalerva
Gym Krono
Gym Núñez
GymalFit (Las Lagunas)
Headway Nutrition & Training
Hfitness Málaga
HIFT Iron Box
Inacua Málaga
Instalaciones Deportivas La Pista
Ironhealth Center
Iron Gym Fitness Málaga
Jansudo Maestro Francis
Level Up Community Fitness
Los Reales Sports Club
McFit Málaga
Natural Fit (Entrenamiento Personal)
Narbona Gym
Nexxo Life (Personal Training)
NowFIT
Nuevo Estilo Fitness
O2 Centro Wellness El Perchel
Olletas Box
OpenBox 29640
OPR Fitness
Parque Victoria Gym
Pilirojas Workout
Pilates Benalmádena
Pilates Dynamics
Polideportivo Las Lagunas
Polideportivo Municipal El Carmen
PowerBox C-Fitness Center
Radical Pilates
RACE Exclusive Gym Boutique
Reebok Sport Center Málaga
Reserva del Higuerón Sport Club
Respira con Ana (Yoga)
Rubén Hormigo Yoga (CultivARTE)
Saga de Heredia Gym
Sankalpa Yoga Aéreo & Pilates
Sargento Gym
Silvia Fitness Yoga
smartFIT Málaga (Low Cost)
Solbeach Fitness Center
Spartan Functional Training
Sport Club Reserva del Higuerón
Studio FusiOM (Pilates)
Synergym Estepona
Synergym Mijas Costa
Synergym Málaga Los Guindos
Synergym Málaga Los Tilos
Synergym Málaga Reding
Synergym Málaga Trinidad
The Unit
Torrejón Training Systems
Turnilla Yoga
Ultimatum Fight School
Underground Sports & Training Center
URUFIT
Vals Sport Ave María
Vals Sport Churriana
Vals Sport Ciudad Jardín
Vals Sport Cónsul
Vals Sport Churriana
Vals Sport Herrera Oria
Vals Sport Juan XXIII
Vals Sport Limoneros
Vals Sport Los Guindos
Vals Sport Método 42
Vals Sport Teatinos
VivaGym Centro (Málaga Plaza)
VivaGym Juan XXIII
Yoga Estepona
Yogademar
ZeusXT Málaga Pacífico
